"Date","Price","Open","High","Low","Vol.","Change %"
"03-02-2026","1,530.80","1,477.20","1,537.00","1,477.20","11.98M","9.10%"
"02-02-2026","1,403.10","1,348.00","1,406.00","1,348.00","2.80M","4.33%"
"01-02-2026","1,344.90","1,419.80","1,453.90","1,325.00","1.98M","-5.28%"
"30-01-2026","1,419.80","1,417.80","1,428.50","1,407.00","2.23M","0.14%"
"29-01-2026","1,417.80","1,384.90","1,429.00","1,371.60","3.92M","2.60%"
"28-01-2026","1,381.90","1,373.90","1,384.30","1,363.70","2.94M","1.32%"
"27-01-2026","1,363.90","1,334.30","1,368.30","1,322.00","3.84M","4.24%"
"23-01-2026","1,308.40","1,417.00","1,417.00","1,292.00","6.38M","-7.48%"
"22-01-2026","1,414.20","1,400.00","1,421.70","1,388.50","1.69M","2.58%"
"21-01-2026","1,378.60","1,371.70","1,390.40","1,345.00","2.14M","0.80%"
"20-01-2026","1,367.60","1,409.00","1,412.90","1,359.60","1.80M","-2.52%"
"19-01-2026","1,403.00","1,421.00","1,421.00","1,395.60","1.13M","-1.33%"
"16-01-2026","1,421.90","1,430.00","1,448.00","1,416.10","1.56M","-0.57%"
"14-01-2026","1,430.00","1,429.00","1,438.90","1,423.00","1.28M","0.10%"
"13-01-2026","1,428.60","1,443.50","1,449.00","1,420.00","919.87K","-1.03%"
"12-01-2026","1,443.50","1,435.90","1,447.10","1,403.90","1.54M","0.53%"
"09-01-2026","1,435.90","1,463.00","1,463.00","1,431.00","2.28M","-2.00%"
"08-01-2026","1,465.20","1,468.00","1,489.00","1,460.30","1.97M","-0.01%"
"07-01-2026","1,465.30","1,473.20","1,480.40","1,459.00","2.12M","-0.54%"
"06-01-2026","1,473.20","1,490.00","1,493.00","1,470.70","1.68M","-1.33%"
"05-01-2026","1,493.00","1,488.00","1,496.80","1,479.10","790.04K","0.23%"
"02-01-2026","1,489.50","1,480.10","1,495.00","1,478.30","1.25M","0.57%"
"01-01-2026","1,481.10","1,472.80","1,490.90","1,470.40","981.25K","0.77%"
"31-12-2025","1,469.80","1,468.50","1,475.00","1,461.30","707.06K","0.59%"
"30-12-2025","1,461.20","1,450.00","1,470.50","1,447.30","3.46M","0.47%"
"29-12-2025","1,454.40","1,487.10","1,487.10","1,451.00","1.57M","-2.20%"
"26-12-2025","1,487.10","1,499.60","1,501.40","1,485.00","876.54K","-0.48%"
"24-12-2025","1,494.30","1,503.00","1,507.20","1,492.00","1.32M","0.05%"
"23-12-2025","1,493.60","1,508.70","1,513.80","1,491.20","928.45K","-1.00%"
"22-12-2025","1,508.70","1,497.50","1,515.00","1,497.50","1.12M","0.82%"
"19-12-2025","1,496.40","1,495.00","1,503.70","1,490.70","1.28M","0.05%"
"18-12-2025","1,495.70","1,486.40","1,498.00","1,476.00","683.68K","0.63%"
"17-12-2025","1,486.30","1,494.10","1,500.00","1,479.30","964.35K","-0.85%"
"16-12-2025","1,499.00","1,512.60","1,512.60","1,494.20","1.12M","-0.90%"
"15-12-2025","1,512.60","1,522.80","1,522.80","1,508.10","850.43K","-0.67%"
"12-12-2025","1,522.80","1,512.00","1,527.40","1,509.50","1.15M","1.25%"
"11-12-2025","1,504.00","1,496.00","1,515.00","1,495.00","1.45M","0.39%"
"10-12-2025","1,498.10","1,500.00","1,521.00","1,493.60","1.68M","0.06%"
"09-12-2025","1,497.20","1,476.90","1,499.20","1,460.90","1.33M","1.13%"
"08-12-2025","1,480.50","1,509.40","1,510.90","1,472.60","1.07M","-1.91%"
"05-12-2025","1,509.40","1,504.60","1,514.00","1,493.30","1.14M","0.25%"
"04-12-2025","1,505.60","1,497.70","1,509.10","1,490.20","1.59M","0.53%"
"03-12-2025","1,497.70","1,514.00","1,524.00","1,488.60","1.96M","-1.34%"
"02-12-2025","1,518.10","1,528.10","1,530.00","1,510.00","1.97M","-0.81%"
"01-12-2025","1,530.50","1,530.00","1,549.00","1,523.00","4.06M","0.90%"
"28-11-2025","1,516.90","1,510.00","1,534.30","1,503.10","2.61M","0.52%"
